plant_id,timestamp,availability_forecast,lower_90,upper_90,method
PLANT_001,2025-04-24 01:00:00,86.56,79.85,80.05,blend_prophet_baseline
PLANT_001,2025-04-24 02:00:00,86.56,79.85,80.05,blend_prophet_baseline
PLANT_001,2025-04-24 03:00:00,86.56,79.85,80.05,blend_prophet_baseline
PLANT_001,2025-04-24 04:00:00,86.56,79.85,80.05,blend_prophet_baseline
PLANT_001,2025-04-24 05:00:00,86.56,79.85,80.05,blend_prophet_baseline
PLANT_001,2025-04-24 06:00:00,86.56,79.85,80.05,blend_prophet_baseline
PLANT_001,2025-04-24 07:00:00,86.56,79.85,80.04,blend_prophet_baseline
PLANT_001,2025-04-24 08:00:00,86.56,79.84,80.04,blend_prophet_baseline
PLANT_001,2025-04-24 09:00:00,86.56,79.85,80.04,blend_prophet_baseline
PLANT_001,2025-04-24 10:00:00,86.56,79.85,80.05,blend_prophet_baseline
PLANT_001,2025-04-24 11:00:00,86.56,79.85,80.05,blend_prophet_baseline
PLANT_001,2025-04-24 12:00:00,86.56,79.85,80.05,blend_prophet_baseline
PLANT_001,2025-04-24 13:00:00,86.57,79.85,80.04,blend_prophet_baseline
PLANT_001,2025-04-24 14:00:00,86.57,79.84,80.05,blend_prophet_baseline
PLANT_001,2025-04-24 15:00:00,86.57,79.85,80.05,blend_prophet_baseline
PLANT_001,2025-04-24 16:00:00,86.57,79.85,80.06,blend_prophet_baseline
PLANT_001,2025-04-24 17:00:00,86.57,79.85,80.05,blend_prophet_baseline
PLANT_001,2025-04-24 18:00:00,86.57,79.85,80.05,blend_prophet_baseline
PLANT_001,2025-04-24 19:00:00,86.57,79.86,80.05,blend_prophet_baseline
PLANT_001,2025-04-24 20:00:00,86.56,79.85,80.06,blend_prophet_baseline
PLANT_001,2025-04-24 21:00:00,86.56,79.85,80.06,blend_prophet_baseline
PLANT_001,2025-04-24 22:00:00,86.56,79.85,80.05,blend_prophet_baseline
PLANT_001,2025-04-24 23:00:00,86.56,79.85,80.05,blend_prophet_baseline
PLANT_001,2025-04-25 00:00:00,86.56,79.85,80.05,blend_prophet_baseline
PLANT_001,2025-04-25 01:00:00,86.56,79.85,80.04,blend_prophet_baseline
PLANT_001,2025-04-25 02:00:00,86.56,79.85,80.05,blend_prophet_baseline
