plant_id,timestamp,curtailment_mw_forecast,curtail_probability,curtail_amount_given_event
PLANT_001,2025-04-24 01:00:00,0.121,0.078,1.553
PLANT_001,2025-04-24 02:00:00,0.121,0.078,1.553
PLANT_001,2025-04-24 03:00:00,0.14,0.09,1.553
PLANT_001,2025-04-24 04:00:00,0.14,0.09,1.553
PLANT_001,2025-04-24 05:00:00,0.14,0.09,1.553
PLANT_001,2025-04-24 06:00:00,0.14,0.09,1.553
PLANT_001,2025-04-24 07:00:00,0.139,0.09,1.553
PLANT_001,2025-04-24 08:00:00,0.138,0.09,1.529
PLANT_001,2025-04-24 09:00:00,0.138,0.09,1.529
PLANT_001,2025-04-24 10:00:00,0.119,0.078,1.529
PLANT_001,2025-04-24 11:00:00,0.119,0.078,1.529
PLANT_001,2025-04-24 12:00:00,0.119,0.078,1.529
PLANT_001,2025-04-24 13:00:00,0.119,0.078,1.529
PLANT_001,2025-04-24 14:00:00,0.119,0.078,1.529
PLANT_001,2025-04-24 15:00:00,0.137,0.09,1.529
PLANT_001,2025-04-24 16:00:00,0.119,0.078,1.529
PLANT_001,2025-04-24 17:00:00,0.119,0.078,1.529
PLANT_001,2025-04-24 18:00:00,0.119,0.078,1.529
PLANT_001,2025-04-24 19:00:00,0.119,0.078,1.529
PLANT_001,2025-04-24 20:00:00,0.119,0.078,1.529
PLANT_001,2025-04-24 21:00:00,0.119,0.078,1.529
PLANT_001,2025-04-24 22:00:00,0.119,0.078,1.529
PLANT_001,2025-04-24 23:00:00,0.119,0.078,1.529
PLANT_001,2025-04-25 00:00:00,0.121,0.078,1.553
PLANT_001,2025-04-25 01:00:00,0.121,0.078,1.553
PLANT_001,2025-04-25 02:00:00,0.121,0.078,1.553
PLANT_001,2025-04-25 03:00:00,0.1,0.064,1.553
PLANT_001,2025-04-25 04:00:00,0.1,0.064,1.553
PLANT_001,2025-04-25 05:00:00,0.1,0.064,1.553
PLANT_001,2025-04-25 06:00:00,0.1,0.064,1.553
PLANT_001,2025-04-25 07:00:00,0.1,0.064,1.553
PLANT_001,2025-04-25 08:00:00,0.098,0.064,1.529
PLANT_001,2025-04-25 09:00:00,0.148,0.097,1.529
PLANT_001,2025-04-25 10:00:00,0.119,0.078,1.529
PLANT_001,2025-04-25 11:00:00,0.119,0.078,1.529
PLANT_001,2025-04-25 12:00:00,0.119,0.078,1.529
PLANT_001,2025-04-25 13:00:00,0.119,0.078,1.529
PLANT_001,2025-04-25 14:00:00,0.119,0.078,1.529
PLANT_001,2025-04-25 15:00:00,0.119,0.078,1.529
PLANT_001,2025-04-25 16:00:00,0.119,0.078,1.529
PLANT_001,2025-04-25 17:00:00,0.119,0.078,1.529
PLANT_001,2025-04-25 18:00:00,0.119,0.078,1.529
PLANT_001,2025-04-25 19:00:00,0.119,0.078,1.529
PLANT_001,2025-04-25 20:00:00,0.119,0.078,1.529
PLANT_001,2025-04-25 21:00:00,0.119,0.078,1.529
PLANT_001,2025-04-25 22:00:00,0.119,0.078,1.529
PLANT_001,2025-04-25 23:00:00,0.119,0.078,1.529
PLANT_001,2025-04-26 00:00:00,0.121,0.078,1.553
PLANT_001,2025-04-26 01:00:00,0.121,0.078,1.553
PLANT_001,2025-04-26 02:00:00,0.164,0.106,1.553
PLANT_001,2025-04-26 03:00:00,0.1,0.064,1.553
PLANT_001,2025-04-26 04:00:00,0.1,0.064,1.553
PLANT_001,2025-04-26 05:00:00,0.1,0.064,1.553
PLANT_001,2025-04-26 06:00:00,0.1,0.064,1.553
PLANT_001,2025-04-26 07:00:00,0.1,0.064,1.553
PLANT_001,2025-04-26 08:00:00,0.098,0.064,1.529
PLANT_001,2025-04-26 09:00:00,0.137,0.09,1.529
PLANT_001,2025-04-26 10:00:00,0.119,0.078,1.529
PLANT_001,2025-04-26 11:00:00,0.119,0.078,1.529
PLANT_001,2025-04-26 12:00:00,0.119,0.078,1.529
PLANT_001,2025-04-26 13:00:00,0.119,0.078,1.529
PLANT_001,2025-04-26 14:00:00,0.119,0.078,1.529
PLANT_001,2025-04-26 15:00:00,0.119,0.078,1.529
PLANT_001,2025-04-26 16:00:00,0.119,0.078,1.529
PLANT_001,2025-04-26 17:00:00,0.119,0.078,1.529
PLANT_001,2025-04-26 18:00:00,0.09,0.059,1.529
PLANT_001,2025-04-26 19:00:00,0.119,0.078,1.529
PLANT_001,2025-04-26 20:00:00,0.119,0.078,1.529
PLANT_001,2025-04-26 21:00:00,0.119,0.078,1.529
PLANT_001,2025-04-26 22:00:00,0.119,0.078,1.529
PLANT_001,2025-04-26 23:00:00,0.137,0.09,1.529
PLANT_001,2025-04-27 00:00:00,0.121,0.078,1.553
PLANT_002,2025-04-24 01:00:00,0.135,0.084,1.6
PLANT_002,2025-04-24 02:00:00,0.135,0.084,1.598
PLANT_002,2025-04-24 03:00:00,0.133,0.084,1.576
PLANT_002,2025-04-24 04:00:00,0.13,0.084,1.549
PLANT_002,2025-04-24 05:00:00,0.143,0.084,1.697
PLANT_002,2025-04-24 06:00:00,0.143,0.084,1.697
PLANT_002,2025-04-24 07:00:00,0.143,0.084,1.697
PLANT_002,2025-04-24 08:00:00,0.134,0.084,1.59
PLANT_002,2025-04-24 09:00:00,0.134,0.084,1.592
PLANT_002,2025-04-24 10:00:00,0.133,0.084,1.585
PLANT_002,2025-04-24 11:00:00,0.133,0.084,1.585
PLANT_002,2025-04-24 12:00:00,0.133,0.084,1.585
PLANT_002,2025-04-24 13:00:00,0.133,0.084,1.582
PLANT_002,2025-04-24 14:00:00,0.134,0.084,1.596
PLANT_002,2025-04-24 15:00:00,0.135,0.084,1.598
PLANT_002,2025-04-24 16:00:00,0.129,0.084,1.531
PLANT_002,2025-04-24 17:00:00,0.12,0.078,1.531
PLANT_002,2025-04-24 18:00:00,0.129,0.084,1.528
PLANT_002,2025-04-24 19:00:00,0.129,0.084,1.528
PLANT_002,2025-04-24 20:00:00,0.126,0.084,1.49
PLANT_002,2025-04-24 21:00:00,0.127,0.084,1.502
PLANT_002,2025-04-24 22:00:00,0.127,0.084,1.505
PLANT_002,2025-04-24 23:00:00,0.126,0.084,1.491
PLANT_002,2025-04-25 00:00:00,0.137,0.084,1.625
PLANT_002,2025-04-25 01:00:00,0.137,0.084,1.625
PLANT_002,2025-04-25 02:00:00,0.137,0.084,1.623
PLANT_002,2025-04-25 03:00:00,0.135,0.084,1.601
PLANT_002,2025-04-25 04:00:00,0.133,0.084,1.574
PLANT_002,2025-04-25 05:00:00,0.143,0.084,1.694
PLANT_002,2025-04-25 06:00:00,0.143,0.084,1.697
PLANT_002,2025-04-25 07:00:00,0.143,0.084,1.697
PLANT_002,2025-04-25 08:00:00,0.136,0.084,1.615
PLANT_002,2025-04-25 09:00:00,0.136,0.084,1.617
PLANT_002,2025-04-25 10:00:00,0.136,0.084,1.609
PLANT_002,2025-04-25 11:00:00,0.136,0.084,1.609
PLANT_002,2025-04-25 12:00:00,0.136,0.084,1.609
PLANT_002,2025-04-25 13:00:00,0.135,0.084,1.607
PLANT_002,2025-04-25 14:00:00,0.137,0.084,1.62
PLANT_002,2025-04-25 15:00:00,0.137,0.084,1.623
PLANT_002,2025-04-25 16:00:00,0.131,0.084,1.555
PLANT_002,2025-04-25 17:00:00,0.122,0.078,1.555
PLANT_002,2025-04-25 18:00:00,0.131,0.084,1.553
PLANT_002,2025-04-25 19:00:00,0.131,0.084,1.553
PLANT_002,2025-04-25 20:00:00,0.128,0.084,1.515
PLANT_002,2025-04-25 21:00:00,0.129,0.084,1.527
PLANT_002,2025-04-25 22:00:00,0.129,0.084,1.53
PLANT_002,2025-04-25 23:00:00,0.128,0.084,1.516
PLANT_002,2025-04-26 00:00:00,0.137,0.084,1.625
PLANT_002,2025-04-26 01:00:00,0.137,0.084,1.625
PLANT_002,2025-04-26 02:00:00,0.137,0.084,1.623
PLANT_002,2025-04-26 03:00:00,0.135,0.084,1.601
PLANT_002,2025-04-26 04:00:00,0.133,0.084,1.574
PLANT_002,2025-04-26 05:00:00,0.143,0.084,1.694
PLANT_002,2025-04-26 06:00:00,0.143,0.084,1.697
PLANT_002,2025-04-26 07:00:00,0.143,0.084,1.697
PLANT_002,2025-04-26 08:00:00,0.136,0.084,1.615
