plant_id,timestamp,gross_forecast_mw,lower_90,upper_90,model,curtailment_mw_forecast,curtail_probability,net_forecast_mw
PLANT_001,2025-04-24 01:00:00,0.0,0.0,0.0,ets,0.121,0.078,0.0
PLANT_001,2025-04-24 02:00:00,0.0,0.0,0.0,ets,0.121,0.078,0.0
PLANT_001,2025-04-24 03:00:00,0.0,0.0,0.0,ets,0.14,0.09,0.0
PLANT_001,2025-04-24 04:00:00,0.0,0.0,0.0,ets,0.14,0.09,0.0
PLANT_001,2025-04-24 05:00:00,0.0,0.0,0.0,ets,0.14,0.09,0.0
PLANT_001,2025-04-24 06:00:00,0.504,0.288,0.43899999999999995,ets,0.14,0.09,0.364
PLANT_001,2025-04-24 07:00:00,11.957,10.024000000000001,13.611,ets,0.139,0.09,11.818000000000001
PLANT_001,2025-04-24 08:00:00,23.382,19.737,26.750999999999998,ets,0.138,0.09,23.244
PLANT_001,2025-04-24 09:00:00,33.102,27.997999999999998,37.929,ets,0.138,0.09,32.964
PLANT_001,2025-04-24 10:00:00,41.66,35.292,47.79,ets,0.119,0.078,41.541
PLANT_001,2025-04-24 11:00:00,46.5,39.406,53.356,ets,0.119,0.078,46.381
PLANT_001,2025-04-24 12:00:00,47.529,40.281,54.54,ets,0.119,0.078,47.410000000000004
PLANT_001,2025-04-24 13:00:00,46.894,39.741,53.809,ets,0.119,0.078,46.775
PLANT_001,2025-04-24 14:00:00,41.79,35.403,47.94,ets,0.119,0.078,41.671
PLANT_001,2025-04-24 15:00:00,32.655,27.62,37.416,ets,0.137,0.09,32.518
PLANT_001,2025-04-24 16:00:00,23.772,20.087,27.219,ets,0.119,0.078,23.653
PLANT_001,2025-04-24 17:00:00,11.948,10.037,13.621,ets,0.119,0.078,11.829
PLANT_001,2025-04-24 18:00:00,0.587,0.38,0.556,ets,0.119,0.078,0.46799999999999997
PLANT_001,2025-04-24 19:00:00,0.0,0.0,0.0,ets,0.119,0.078,0.0
PLANT_001,2025-04-24 20:00:00,0.0,0.0,0.0,ets,0.119,0.078,0.0
PLANT_001,2025-04-24 21:00:00,0.0,0.0,0.0,ets,0.119,0.078,0.0
PLANT_001,2025-04-24 22:00:00,0.0,0.0,0.0,ets,0.119,0.078,0.0
PLANT_001,2025-04-24 23:00:00,0.0,0.0,0.0,ets,0.119,0.078,0.0
PLANT_001,2025-04-25 00:00:00,0.0,0.0,0.0,ets,0.121,0.078,0.0
PLANT_001,2025-04-25 01:00:00,0.0,0.0,0.0,ets,0.121,0.078,0.0
