plant_id,plant_type,n_features,n_obs,zero_rate,cv,best_model,lstm_triggered,ets_MAE,ets_RMSE,ets_MAPE,theta_MAE,theta_RMSE,theta_MAPE,sarima_MAE,sarima_RMSE,sarima_MAPE,prophet_MAE,prophet_RMSE,prophet_MAPE,lightgbm_MAE,lightgbm_RMSE,lightgbm_MAPE
PLANT_001,solar,4,11497,0.501,1.244,ets,False,1.889,3.379,16.56,1.893,3.417,16.75,1.889,3.378,16.9,1.995,3.47,26.09,4.993,7.472,83.93
PLANT_002,wind,4,11497,0.0,0.316,theta,False,7.642,8.831,21.01,7.616,8.808,20.99,,,,7.668,8.838,21.08,7.846,9.103,22.49
PLANT_003,hybrid,4,11497,0.0,0.559,prophet,False,2.507,3.089,16.36,2.66,3.361,16.9,,,,2.451,3.035,16.16,3.424,4.227,21.86
PLANT_004,solar,4,11497,0.5,1.244,ets,False,2.971,5.533,18.34,3.031,5.554,19.55,2.972,5.505,18.81,3.263,5.398,28.46,6.727,10.218,129.28
PLANT_005,wind,4,11497,0.0,0.344,ets,False,6.252,7.276,21.34,6.259,7.305,21.08,,,,,,,6.294,7.556,21.44
PLANT_006,solar,4,11497,0.504,1.25,ets,False,0.356,0.623,18.63,0.366,0.63,18.21,0.36,0.629,18.4,0.398,0.636,20.74,0.785,1.212,43.86
PLANT_007,wind,4,11497,0.0,0.318,prophet,False,7.488,8.716,19.16,7.497,8.727,19.17,,,,7.45,8.671,19.16,7.826,9.482,18.84
PLANT_008,solar,4,11497,0.501,1.246,ets,False,0.942,1.72,19.99,0.96,1.739,20.81,0.95,1.73,20.3,1.039,1.748,23.88,2.144,3.35,72.69
PLANT_009,hybrid,4,11497,0.0,0.562,sarima,False,3.274,4.01,15.72,3.683,4.593,16.88,3.244,3.966,15.71,3.258,3.99,15.9,4.955,6.326,23.61
PLANT_010,solar,4,11497,0.503,1.244,theta,False,2.789,5.276,20.79,2.711,5.178,22.3,2.761,5.255,22.13,3.005,5.303,39.51,6.373,9.855,60.49
PLANT_011,wind,4,11497,0.0,0.315,prophet,False,8.035,9.283,22.76,8.04,9.267,22.74,,,,7.807,8.956,21.49,7.89,9.231,22.14
PLANT_012,solar,4,11497,0.5,1.269,theta,False,2.986,5.266,30.47,2.934,5.289,25.56,2.954,5.285,29.95,3.182,5.237,64.52,6.58,10.2,271.71
PLANT_014,solar,4,11497,0.501,1.248,ets,False,1.382,2.461,19.04,1.392,2.445,18.93,1.388,2.458,18.82,1.533,2.523,26.68,3.537,5.457,101.65
PLANT_016,solar,4,11497,0.504,1.248,ets,False,0.377,0.738,36.47,0.396,0.764,36.83,0.38,0.74,36.12,0.412,0.751,36.32,0.747,1.211,61.54
PLANT_017,wind,4,11497,0.0,0.318,sarima,False,4.727,5.372,21.77,4.735,5.389,21.87,4.715,5.365,21.77,4.723,5.337,21.23,4.793,5.486,21.36
PLANT_018,solar,4,11497,0.5,1.247,sarima,False,2.449,4.466,19.93,2.478,4.365,18.65,2.448,4.477,18.44,2.734,4.472,28.93,5.547,8.656,98.07
PLANT_019,hybrid,4,11497,0.0,0.571,ets,False,1.361,1.666,15.49,1.466,1.83,16.06,1.362,1.668,15.44,1.362,1.667,15.54,2.051,2.611,23.05
