plant_id,best_model,lightgbm_MAE,lightgbm_MAPE,xgboost_MAE,xgboost_MAPE,ridge_MAE,ridge_MAPE,svr_MAE,svr_MAPE,seasonal_strength,weekly_strength,trend_strength,residual_std,dominant_period,forecast_difficulty
PLANT_001,ridge,0.071,0.85,0.071,0.9,0.019,0.36,0.573,7.1,0.9594,0.9565,0.0204,3.9495,daily,easy
PLANT_004,ridge,0.107,1.16,0.108,1.29,0.04,0.81,0.835,12.49,0.9598,0.9567,0.0204,5.5202,daily,medium
PLANT_006,ridge,0.012,0.83,0.013,0.92,0.003,0.19,0.212,10.24,0.952,0.9468,0.0223,0.6701,daily,easy
PLANT_008,ridge,0.032,0.88,0.03,0.9,0.009,0.3,0.396,12.29,0.9582,0.9539,0.0225,1.6677,daily,easy
PLANT_014,ridge,0.044,0.89,0.044,0.81,0.011,0.29,0.431,8.11,0.9578,0.9558,0.0322,2.5202,daily,easy
PLANT_016,ridge,0.011,0.81,0.012,0.9,0.003,0.21,0.257,11.7,0.9525,0.9485,0.0267,0.6434,daily,easy
PLANT_018,ridge,0.108,1.16,0.181,1.67,0.01,0.2,0.588,5.92,0.9593,0.9483,0.0671,4.2444,daily,easy
PLANT_026,ridge,0.027,0.76,0.027,0.88,0.008,0.31,0.355,9.06,0.9576,0.9549,0.022,1.5114,daily,easy
PLANT_028,ridge,0.111,0.82,0.119,1.01,0.028,0.34,0.983,6.99,0.9589,0.9561,0.0168,7.1618,daily,medium
PLANT_030,ridge,0.025,0.8,0.026,0.83,0.007,0.28,0.373,11.43,0.9583,0.9533,0.0186,1.6151,daily,easy
PLANT_035,ridge,0.077,0.99,0.078,1.03,0.02,0.42,0.72,8.25,0.9608,0.9563,0.0209,3.8892,daily,easy
PLANT_037,ridge,0.053,0.81,0.062,0.84,0.015,0.3,0.597,7.87,0.9573,0.9551,0.0178,3.2775,daily,easy
PLANT_039,ridge,0.04,1.0,0.035,0.95,0.012,0.44,0.45,17.47,0.9587,0.9539,0.023,2.0518,daily,easy
PLANT_041,ridge,0.056,0.82,0.053,0.78,0.015,0.38,0.481,7.07,0.959,0.9561,0.0242,3.3316,daily,easy
PLANT_049,ridge,0.051,1.06,0.05,0.89,0.014,0.46,0.544,10.95,0.9578,0.9534,0.0189,2.805,daily,easy
