plant_id,timestamp,forecast_mw,lower_90,upper_90,model
PLANT_001,2025-04-24 01:00:00,7.341,7.287,7.396,ridge
PLANT_001,2025-04-24 02:00:00,7.676,7.622,7.73,ridge
PLANT_001,2025-04-24 03:00:00,8.036,7.982,8.09,ridge
PLANT_001,2025-04-24 04:00:00,8.426,8.371,8.48,ridge
PLANT_001,2025-04-24 05:00:00,8.85,8.796,8.904,ridge
PLANT_001,2025-04-24 06:00:00,9.317,9.262,9.371,ridge
PLANT_001,2025-04-24 07:00:00,9.896,9.841,9.95,ridge
PLANT_001,2025-04-24 08:00:00,10.274,10.219,10.328,ridge
PLANT_001,2025-04-24 09:00:00,10.276,10.221,10.33,ridge
PLANT_001,2025-04-24 10:00:00,9.613,9.559,9.667,ridge
PLANT_001,2025-04-24 11:00:00,9.231,9.176,9.285,ridge
PLANT_001,2025-04-24 12:00:00,8.035,7.981,8.089,ridge
PLANT_001,2025-04-24 13:00:00,6.739,6.685,6.793,ridge
PLANT_001,2025-04-24 14:00:00,4.728,4.674,4.782,ridge
PLANT_001,2025-04-24 15:00:00,3.296,3.242,3.351,ridge
PLANT_001,2025-04-24 16:00:00,2.0,1.946,2.055,ridge
PLANT_001,2025-04-24 17:00:00,0.939,0.885,0.994,ridge
PLANT_001,2025-04-24 18:00:00,0.0,0.0,0.054,ridge
PLANT_001,2025-04-24 19:00:00,0.0,0.0,0.054,ridge
PLANT_001,2025-04-24 20:00:00,0.0,0.0,0.054,ridge
PLANT_001,2025-04-24 21:00:00,0.0,0.0,0.054,ridge
PLANT_001,2025-04-24 22:00:00,0.0,0.0,0.054,ridge
PLANT_001,2025-04-24 23:00:00,0.0,0.0,0.054,ridge
PLANT_001,2025-04-25 00:00:00,0.0,0.0,0.054,ridge
PLANT_001,2025-04-25 01:00:00,0.0,0.0,0.054,ridge
PLANT_001,2025-04-25 02:00:00,0.0,0.0,0.054,ridge
PLANT_001,2025-04-25 03:00:00,0.0,0.0,0.054,ridge
PLANT_001,2025-04-25 04:00:00,0.0,0.0,0.054,ridge
PLANT_001,2025-04-25 05:00:00,0.0,0.0,0.054,ridge
PLANT_001,2025-04-25 06:00:00,0.0,0.0,0.054,ridge
PLANT_001,2025-04-25 07:00:00,0.059,0.004,0.113,ridge
PLANT_001,2025-04-25 08:00:00,0.137,0.083,0.192,ridge
PLANT_001,2025-04-25 09:00:00,0.25,0.196,0.304,ridge
PLANT_001,2025-04-25 10:00:00,0.292,0.238,0.346,ridge
PLANT_001,2025-04-25 11:00:00,0.291,0.237,0.346,ridge
PLANT_001,2025-04-25 12:00:00,0.282,0.228,0.336,ridge
PLANT_001,2025-04-25 13:00:00,0.221,0.167,0.275,ridge
PLANT_001,2025-04-25 14:00:00,0.162,0.108,0.216,ridge
PLANT_001,2025-04-25 15:00:00,0.103,0.049,0.157,ridge
PLANT_001,2025-04-25 16:00:00,0.018,0.0,0.073,ridge
PLANT_001,2025-04-25 17:00:00,0.0,0.0,0.054,ridge
PLANT_001,2025-04-25 18:00:00,0.0,0.0,0.054,ridge
PLANT_001,2025-04-25 19:00:00,0.0,0.0,0.054,ridge
PLANT_001,2025-04-25 20:00:00,0.0,0.0,0.054,ridge
PLANT_001,2025-04-25 21:00:00,0.0,0.0,0.054,ridge
PLANT_001,2025-04-25 22:00:00,0.0,0.0,0.054,ridge
PLANT_001,2025-04-25 23:00:00,0.0,0.0,0.054,ridge
PLANT_001,2025-04-26 00:00:00,0.0,0.0,0.054,ridge
PLANT_001,2025-04-26 01:00:00,0.0,0.0,0.054,ridge
PLANT_001,2025-04-26 02:00:00,0.0,0.0,0.054,ridge
PLANT_001,2025-04-26 03:00:00,0.0,0.0,0.054,ridge
PLANT_001,2025-04-26 04:00:00,0.0,0.0,0.054,ridge
PLANT_001,2025-04-26 05:00:00,0.0,0.0,0.054,ridge
PLANT_001,2025-04-26 06:00:00,0.0,0.0,0.054,ridge
PLANT_001,2025-04-26 07:00:00,0.092,0.038,0.147,ridge
PLANT_001,2025-04-26 08:00:00,0.191,0.137,0.246,ridge
PLANT_001,2025-04-26 09:00:00,0.237,0.182,0.291,ridge
PLANT_001,2025-04-26 10:00:00,0.264,0.209,0.318,ridge
PLANT_001,2025-04-26 11:00:00,0.3,0.246,0.354,ridge
PLANT_001,2025-04-26 12:00:00,0.261,0.207,0.315,ridge
PLANT_001,2025-04-26 13:00:00,0.236,0.182,0.29,ridge
PLANT_001,2025-04-26 14:00:00,0.166,0.112,0.22,ridge
PLANT_001,2025-04-26 15:00:00,0.083,0.028,0.137,ridge
PLANT_001,2025-04-26 16:00:00,0.009,0.0,0.063,ridge
PLANT_001,2025-04-26 17:00:00,0.0,0.0,0.054,ridge
PLANT_001,2025-04-26 18:00:00,0.0,0.0,0.054,ridge
PLANT_001,2025-04-26 19:00:00,0.0,0.0,0.054,ridge
PLANT_001,2025-04-26 20:00:00,0.0,0.0,0.054,ridge
PLANT_001,2025-04-26 21:00:00,0.0,0.0,0.054,ridge
PLANT_001,2025-04-26 22:00:00,0.0,0.0,0.054,ridge
PLANT_001,2025-04-26 23:00:00,0.0,0.0,0.054,ridge
PLANT_001,2025-04-27 00:00:00,0.0,0.0,0.054,ridge
PLANT_004,2025-04-24 01:00:00,10.514,10.397,10.631,ridge
PLANT_004,2025-04-24 02:00:00,10.995,10.878,11.112,ridge
PLANT_004,2025-04-24 03:00:00,11.518,11.401,11.634,ridge
PLANT_004,2025-04-24 04:00:00,12.076,11.96,12.193,ridge
PLANT_004,2025-04-24 05:00:00,12.681,12.565,12.798,ridge
PLANT_004,2025-04-24 06:00:00,13.346,13.229,13.463,ridge
PLANT_004,2025-04-24 07:00:00,14.188,14.071,14.304,ridge
PLANT_004,2025-04-24 08:00:00,14.644,14.528,14.761,ridge
PLANT_004,2025-04-24 09:00:00,14.431,14.314,14.547,ridge
PLANT_004,2025-04-24 10:00:00,14.096,13.98,14.213,ridge
PLANT_004,2025-04-24 11:00:00,13.404,13.287,13.521,ridge
PLANT_004,2025-04-24 12:00:00,11.368,11.251,11.485,ridge
PLANT_004,2025-04-24 13:00:00,9.251,9.135,9.368,ridge
PLANT_004,2025-04-24 14:00:00,7.253,7.137,7.37,ridge
PLANT_004,2025-04-24 15:00:00,5.258,5.141,5.375,ridge
PLANT_004,2025-04-24 16:00:00,2.737,2.62,2.854,ridge
PLANT_004,2025-04-24 17:00:00,1.148,1.031,1.265,ridge
PLANT_004,2025-04-24 18:00:00,0.0,0.0,0.117,ridge
PLANT_004,2025-04-24 19:00:00,0.0,0.0,0.117,ridge
PLANT_004,2025-04-24 20:00:00,0.0,0.0,0.117,ridge
PLANT_004,2025-04-24 21:00:00,0.0,0.0,0.117,ridge
PLANT_004,2025-04-24 22:00:00,0.0,0.0,0.117,ridge
PLANT_004,2025-04-24 23:00:00,0.0,0.0,0.117,ridge
PLANT_004,2025-04-25 00:00:00,0.0,0.0,0.117,ridge
PLANT_004,2025-04-25 01:00:00,0.0,0.0,0.117,ridge
