plant_id,timestamp,forecast_mw,p10,p25,p50,p75,p90,scenario_worst,scenario_base,scenario_best,sigma_total
PLANT_001,2025-04-24 01:00:00,7.341,2.377,4.563,7.296,9.869,12.249,2.377,7.296,12.249,3.993
PLANT_001,2025-04-24 02:00:00,7.676,3.899,5.518,7.634,9.487,11.492,3.899,7.634,11.492,3.997
PLANT_001,2025-04-24 03:00:00,8.036,4.824,6.253,7.947,9.583,11.131,4.824,7.947,11.131,4.002
PLANT_001,2025-04-24 04:00:00,8.426,5.734,6.912,8.255,9.743,11.116,5.734,8.255,11.116,4.007
PLANT_001,2025-04-24 05:00:00,8.85,6.303,7.451,8.778,10.086,11.129,6.303,8.778,11.129,4.013
PLANT_001,2025-04-24 06:00:00,9.317,6.864,7.931,9.244,10.474,11.44,6.864,9.244,11.44,4.019
PLANT_001,2025-04-24 07:00:00,9.896,7.425,8.604,9.837,11.032,12.002,7.425,9.837,12.002,4.028
PLANT_001,2025-04-24 08:00:00,10.274,7.983,9.014,10.145,11.316,12.402,7.983,10.145,12.402,4.034
PLANT_001,2025-04-24 09:00:00,10.276,7.951,8.966,10.071,11.407,12.443,7.951,10.071,12.443,4.034
PLANT_001,2025-04-24 10:00:00,9.613,7.345,8.406,9.551,10.732,11.714,7.345,9.551,11.714,4.024
PLANT_001,2025-04-24 11:00:00,9.231,6.865,7.988,9.061,10.362,11.325,6.865,9.061,11.325,4.018
PLANT_001,2025-04-24 12:00:00,8.035,5.72,6.625,7.843,9.015,10.04,5.72,7.843,10.04,4.002
PLANT_001,2025-04-24 13:00:00,6.739,4.47,5.447,6.674,7.858,8.784,4.47,6.674,8.784,3.986
PLANT_001,2025-04-24 14:00:00,4.728,2.488,3.535,4.658,5.799,6.796,2.488,4.658,6.796,3.968
PLANT_001,2025-04-24 15:00:00,3.296,1.205,2.188,3.268,4.367,5.42,1.205,3.268,5.42,3.958
PLANT_001,2025-04-24 16:00:00,2.0,0.016,0.849,2.032,3.099,4.18,0.016,2.032,4.18,3.953
PLANT_001,2025-04-24 17:00:00,0.939,0.0,0.0,0.962,2.104,3.134,0.0,0.962,3.134,3.95
PLANT_001,2025-04-24 18:00:00,0.0,0.0,0.0,0.142,1.204,2.107,0.0,0.142,2.107,3.95
PLANT_001,2025-04-24 19:00:00,0.0,0.0,0.0,0.009,1.081,2.166,0.0,0.009,2.166,3.95
PLANT_001,2025-04-24 20:00:00,0.0,0.0,0.0,0.158,1.119,2.117,0.0,0.158,2.117,3.95
PLANT_001,2025-04-24 21:00:00,0.0,0.0,0.0,0.09,1.134,2.099,0.0,0.09,2.099,3.95
PLANT_001,2025-04-24 22:00:00,0.0,0.0,0.0,0.014,1.008,2.101,0.0,0.014,2.101,3.95
PLANT_001,2025-04-24 23:00:00,0.0,0.0,0.0,0.0,1.018,2.115,0.0,0.0,2.115,3.95
PLANT_001,2025-04-25 00:00:00,0.0,0.0,0.0,0.0,1.107,2.047,0.0,0.0,2.047,3.95
PLANT_001,2025-04-25 01:00:00,0.0,0.0,0.0,0.0,1.071,1.971,0.0,0.0,1.971,3.95
PLANT_001,2025-04-25 02:00:00,0.0,0.0,0.0,0.0,1.027,2.151,0.0,0.0,2.151,3.95
PLANT_001,2025-04-25 03:00:00,0.0,0.0,0.0,0.0,1.112,2.252,0.0,0.0,2.252,3.95
PLANT_001,2025-04-25 04:00:00,0.0,0.0,0.0,0.002,1.058,2.029,0.0,0.002,2.029,3.95
PLANT_001,2025-04-25 05:00:00,0.0,0.0,0.0,0.0,1.137,2.232,0.0,0.0,2.232,3.95
PLANT_001,2025-04-25 06:00:00,0.0,0.0,0.0,0.023,1.168,2.18,0.0,0.023,2.18,3.95
PLANT_001,2025-04-25 07:00:00,0.059,0.0,0.0,0.126,1.119,2.082,0.0,0.126,2.082,3.95
PLANT_001,2025-04-25 08:00:00,0.137,0.0,0.0,0.124,1.218,2.357,0.0,0.124,2.357,3.95
PLANT_001,2025-04-25 09:00:00,0.25,0.0,0.0,0.296,1.446,2.492,0.0,0.296,2.492,3.95
PLANT_001,2025-04-25 10:00:00,0.292,0.0,0.0,0.217,1.287,2.309,0.0,0.217,2.309,3.95
PLANT_001,2025-04-25 11:00:00,0.291,0.0,0.0,0.249,1.312,2.42,0.0,0.249,2.42,3.95
PLANT_001,2025-04-25 12:00:00,0.282,0.0,0.0,0.287,1.417,2.457,0.0,0.287,2.457,3.95
PLANT_001,2025-04-25 13:00:00,0.221,0.0,0.0,0.238,1.343,2.339,0.0,0.238,2.339,3.95
PLANT_001,2025-04-25 14:00:00,0.162,0.0,0.0,0.147,1.249,2.253,0.0,0.147,2.253,3.95
PLANT_001,2025-04-25 15:00:00,0.103,0.0,0.0,0.055,1.125,2.082,0.0,0.055,2.082,3.95
PLANT_001,2025-04-25 16:00:00,0.018,0.0,0.0,0.0,1.014,1.985,0.0,0.0,1.985,3.95
PLANT_001,2025-04-25 17:00:00,0.0,0.0,0.0,0.0,1.104,2.015,0.0,0.0,2.015,3.95
PLANT_001,2025-04-25 18:00:00,0.0,0.0,0.0,0.0,1.091,2.096,0.0,0.0,2.096,3.95
PLANT_001,2025-04-25 19:00:00,0.0,0.0,0.0,0.0,1.099,2.044,0.0,0.0,2.044,3.95
PLANT_001,2025-04-25 20:00:00,0.0,0.0,0.0,0.0,0.981,2.077,0.0,0.0,2.077,3.95
PLANT_001,2025-04-25 21:00:00,0.0,0.0,0.0,0.0,1.036,2.0,0.0,0.0,2.0,3.95
PLANT_001,2025-04-25 22:00:00,0.0,0.0,0.0,0.0,1.137,2.123,0.0,0.0,2.123,3.95
PLANT_001,2025-04-25 23:00:00,0.0,0.0,0.0,0.0,1.134,2.174,0.0,0.0,2.174,3.95
PLANT_001,2025-04-26 00:00:00,0.0,0.0,0.0,0.02,1.062,2.112,0.0,0.02,2.112,3.95
PLANT_001,2025-04-26 01:00:00,0.0,0.0,0.0,0.0,1.047,2.197,0.0,0.0,2.197,3.95
PLANT_001,2025-04-26 02:00:00,0.0,0.0,0.0,0.0,1.029,2.059,0.0,0.0,2.059,3.95
PLANT_001,2025-04-26 03:00:00,0.0,0.0,0.0,0.068,1.211,2.184,0.0,0.068,2.184,3.95
PLANT_001,2025-04-26 04:00:00,0.0,0.0,0.0,0.0,1.174,2.229,0.0,0.0,2.229,3.95
PLANT_001,2025-04-26 05:00:00,0.0,0.0,0.0,0.0,1.069,2.041,0.0,0.0,2.041,3.95
PLANT_001,2025-04-26 06:00:00,0.0,0.0,0.0,0.008,1.118,2.019,0.0,0.008,2.019,3.95
PLANT_001,2025-04-26 07:00:00,0.092,0.0,0.0,0.159,1.279,2.296,0.0,0.159,2.296,3.95
PLANT_001,2025-04-26 08:00:00,0.191,0.0,0.0,0.205,1.284,2.349,0.0,0.205,2.349,3.95
PLANT_001,2025-04-26 09:00:00,0.237,0.0,0.0,0.237,1.229,2.333,0.0,0.237,2.333,3.95
PLANT_001,2025-04-26 10:00:00,0.264,0.0,0.0,0.302,1.34,2.497,0.0,0.302,2.497,3.95
PLANT_001,2025-04-26 11:00:00,0.3,0.0,0.0,0.255,1.361,2.429,0.0,0.255,2.429,3.95
PLANT_001,2025-04-26 12:00:00,0.261,0.0,0.0,0.326,1.49,2.32,0.0,0.326,2.32,3.95
PLANT_001,2025-04-26 13:00:00,0.236,0.0,0.0,0.223,1.321,2.334,0.0,0.223,2.334,3.95
PLANT_001,2025-04-26 14:00:00,0.166,0.0,0.0,0.081,1.331,2.226,0.0,0.081,2.226,3.95
PLANT_001,2025-04-26 15:00:00,0.083,0.0,0.0,0.099,1.331,2.367,0.0,0.099,2.367,3.95
PLANT_001,2025-04-26 16:00:00,0.009,0.0,0.0,0.0,1.182,2.305,0.0,0.0,2.305,3.95
PLANT_001,2025-04-26 17:00:00,0.0,0.0,0.0,0.045,1.066,2.084,0.0,0.045,2.084,3.95
PLANT_001,2025-04-26 18:00:00,0.0,0.0,0.0,0.01,1.114,2.056,0.0,0.01,2.056,3.95
PLANT_001,2025-04-26 19:00:00,0.0,0.0,0.0,0.009,1.054,2.175,0.0,0.009,2.175,3.95
PLANT_001,2025-04-26 20:00:00,0.0,0.0,0.0,0.0,1.138,2.182,0.0,0.0,2.182,3.95
PLANT_001,2025-04-26 21:00:00,0.0,0.0,0.0,0.081,1.147,2.055,0.0,0.081,2.055,3.95
PLANT_001,2025-04-26 22:00:00,0.0,0.0,0.0,0.012,1.17,2.2,0.0,0.012,2.2,3.95
PLANT_001,2025-04-26 23:00:00,0.0,0.0,0.0,0.13,1.162,2.194,0.0,0.13,2.194,3.95
PLANT_001,2025-04-27 00:00:00,0.0,0.0,0.0,0.067,1.171,2.186,0.0,0.067,2.186,3.95
PLANT_004,2025-04-24 01:00:00,10.514,3.568,6.625,10.447,14.045,17.374,3.568,10.447,17.374,5.584
PLANT_004,2025-04-24 02:00:00,10.995,5.709,7.973,10.932,13.524,16.328,5.709,10.932,16.328,5.59
PLANT_004,2025-04-24 03:00:00,11.518,7.022,9.02,11.389,13.677,15.843,7.022,11.389,15.843,5.597
PLANT_004,2025-04-24 04:00:00,12.076,8.306,9.954,11.832,13.914,15.834,8.306,11.832,15.834,5.605
PLANT_004,2025-04-24 05:00:00,12.681,9.114,10.719,12.576,14.405,15.865,9.114,12.576,15.865,5.613
PLANT_004,2025-04-24 06:00:00,13.346,9.909,11.403,13.24,14.96,16.311,9.909,13.24,16.311,5.623
PLANT_004,2025-04-24 07:00:00,14.188,10.726,12.375,14.1,15.772,17.13,10.726,14.1,17.13,5.636
PLANT_004,2025-04-24 08:00:00,14.644,11.435,12.877,14.459,16.098,17.617,11.435,14.459,17.617,5.644
PLANT_004,2025-04-24 09:00:00,14.431,11.179,12.599,14.144,16.011,17.46,11.179,14.144,17.46,5.64
PLANT_004,2025-04-24 10:00:00,14.096,10.91,12.396,13.999,15.654,17.029,10.91,13.999,17.029,5.635
PLANT_004,2025-04-24 11:00:00,13.404,10.085,11.657,13.159,14.98,16.328,10.085,13.159,16.328,5.624
PLANT_004,2025-04-24 12:00:00,11.368,8.129,9.395,11.098,12.736,14.17,8.129,11.098,14.17,5.595
PLANT_004,2025-04-24 13:00:00,9.251,6.083,7.449,9.163,10.817,12.111,6.083,9.163,12.111,5.57
PLANT_004,2025-04-24 14:00:00,7.253,4.11,5.574,7.145,8.741,10.136,4.11,7.145,10.136,5.551
PLANT_004,2025-04-24 15:00:00,5.258,2.323,3.698,5.209,6.747,8.219,2.323,5.209,8.219,5.537
PLANT_004,2025-04-24 16:00:00,2.737,0.0,1.129,2.782,4.274,5.784,0.0,2.782,5.784,5.525
PLANT_004,2025-04-24 17:00:00,1.148,0.0,0.0,1.182,2.779,4.219,0.0,1.182,4.219,5.521
PLANT_004,2025-04-24 18:00:00,0.0,0.0,0.0,0.199,1.683,2.945,0.0,0.199,2.945,5.52
PLANT_004,2025-04-24 19:00:00,0.0,0.0,0.0,0.012,1.512,3.028,0.0,0.012,3.028,5.52
PLANT_004,2025-04-24 20:00:00,0.0,0.0,0.0,0.221,1.564,2.959,0.0,0.221,2.959,5.52
PLANT_004,2025-04-24 21:00:00,0.0,0.0,0.0,0.126,1.585,2.934,0.0,0.126,2.934,5.52
PLANT_004,2025-04-24 22:00:00,0.0,0.0,0.0,0.019,1.409,2.937,0.0,0.019,2.937,5.52
PLANT_004,2025-04-24 23:00:00,0.0,0.0,0.0,0.0,1.423,2.956,0.0,0.0,2.956,5.52
PLANT_004,2025-04-25 00:00:00,0.0,0.0,0.0,0.0,1.547,2.862,0.0,0.0,2.862,5.52
PLANT_004,2025-04-25 01:00:00,0.0,0.0,0.0,0.0,1.497,2.755,0.0,0.0,2.755,5.52
PLANT_004,2025-04-25 02:00:00,0.0,0.0,0.0,0.0,1.436,3.007,0.0,0.0,3.007,5.52
PLANT_004,2025-04-25 03:00:00,0.0,0.0,0.0,0.0,1.555,3.147,0.0,0.0,3.147,5.52
PLANT_004,2025-04-25 04:00:00,0.0,0.0,0.0,0.003,1.479,2.836,0.0,0.003,2.836,5.52
PLANT_004,2025-04-25 05:00:00,0.0,0.0,0.0,0.0,1.589,3.12,0.0,0.0,3.12,5.52
PLANT_004,2025-04-25 06:00:00,0.0,0.0,0.0,0.032,1.632,3.046,0.0,0.032,3.046,5.52
PLANT_004,2025-04-25 07:00:00,0.145,0.0,0.0,0.238,1.625,2.971,0.0,0.238,2.971,5.521
PLANT_004,2025-04-25 08:00:00,0.251,0.0,0.0,0.232,1.762,3.353,0.0,0.232,3.353,5.521
PLANT_004,2025-04-25 09:00:00,0.276,0.0,0.0,0.341,1.948,3.41,0.0,0.341,3.41,5.521
PLANT_004,2025-04-25 10:00:00,0.317,0.0,0.0,0.214,1.708,3.138,0.0,0.214,3.138,5.521
PLANT_004,2025-04-25 11:00:00,0.301,0.0,0.0,0.244,1.729,3.278,0.0,0.244,3.278,5.521
PLANT_004,2025-04-25 12:00:00,0.286,0.0,0.0,0.294,1.874,3.327,0.0,0.294,3.327,5.521
PLANT_004,2025-04-25 13:00:00,0.306,0.0,0.0,0.33,1.875,3.266,0.0,0.33,3.266,5.521
PLANT_004,2025-04-25 14:00:00,0.168,0.0,0.0,0.148,1.688,3.092,0.0,0.148,3.092,5.521
PLANT_004,2025-04-25 15:00:00,0.075,0.0,0.0,0.009,1.505,2.842,0.0,0.009,2.842,5.521
PLANT_004,2025-04-25 16:00:00,0.0,0.0,0.0,0.0,1.393,2.749,0.0,0.0,2.749,5.52
PLANT_004,2025-04-25 17:00:00,0.0,0.0,0.0,0.0,1.544,2.816,0.0,0.0,2.816,5.52
PLANT_004,2025-04-25 18:00:00,0.0,0.0,0.0,0.0,1.525,2.929,0.0,0.0,2.929,5.52
PLANT_004,2025-04-25 19:00:00,0.0,0.0,0.0,0.0,1.535,2.856,0.0,0.0,2.856,5.52
PLANT_004,2025-04-25 20:00:00,0.0,0.0,0.0,0.0,1.371,2.903,0.0,0.0,2.903,5.52
PLANT_004,2025-04-25 21:00:00,0.0,0.0,0.0,0.0,1.448,2.795,0.0,0.0,2.795,5.52
PLANT_004,2025-04-25 22:00:00,0.0,0.0,0.0,0.0,1.589,2.967,0.0,0.0,2.967,5.52
PLANT_004,2025-04-25 23:00:00,0.0,0.0,0.0,0.0,1.585,3.038,0.0,0.0,3.038,5.52
PLANT_004,2025-04-26 00:00:00,0.0,0.0,0.0,0.028,1.484,2.952,0.0,0.028,2.952,5.52
PLANT_004,2025-04-26 01:00:00,0.0,0.0,0.0,0.0,1.464,3.071,0.0,0.0,3.071,5.52
PLANT_004,2025-04-26 02:00:00,0.0,0.0,0.0,0.0,1.438,2.878,0.0,0.0,2.878,5.52
PLANT_004,2025-04-26 03:00:00,0.0,0.0,0.0,0.095,1.693,3.052,0.0,0.095,3.052,5.52
PLANT_004,2025-04-26 04:00:00,0.0,0.0,0.0,0.0,1.641,3.115,0.0,0.0,3.115,5.52
PLANT_004,2025-04-26 05:00:00,0.0,0.0,0.0,0.0,1.494,2.852,0.0,0.0,2.852,5.52
PLANT_004,2025-04-26 06:00:00,0.0,0.0,0.0,0.011,1.563,2.822,0.0,0.011,2.822,5.52
PLANT_004,2025-04-26 07:00:00,0.111,0.0,0.0,0.205,1.771,3.191,0.0,0.205,3.191,5.521
PLANT_004,2025-04-26 08:00:00,0.28,0.0,0.0,0.299,1.807,3.296,0.0,0.299,3.296,5.521
PLANT_004,2025-04-26 09:00:00,0.347,0.0,0.0,0.347,1.734,3.276,0.0,0.347,3.276,5.521
