plant_id,timestamp,forecast_mw,lower_90,upper_90,model
PLANT_002,2025-04-24 06:00:00,43.851,43.843,43.86,ridge
PLANT_002,2025-04-24 07:00:00,43.545,43.537,43.554,ridge
PLANT_002,2025-04-24 08:00:00,43.476,43.468,43.484,ridge
PLANT_002,2025-04-24 09:00:00,43.554,43.546,43.562,ridge
PLANT_002,2025-04-24 10:00:00,43.44,43.432,43.449,ridge
PLANT_002,2025-04-24 11:00:00,43.981,43.973,43.989,ridge
PLANT_002,2025-04-24 12:00:00,44.392,44.384,44.401,ridge
PLANT_002,2025-04-24 13:00:00,44.868,44.86,44.876,ridge
PLANT_002,2025-04-24 14:00:00,45.46,45.452,45.469,ridge
PLANT_002,2025-04-24 15:00:00,45.373,45.365,45.381,ridge
PLANT_002,2025-04-24 16:00:00,44.88,44.872,44.888,ridge
PLANT_002,2025-04-24 17:00:00,45.008,45.0,45.016,ridge
PLANT_002,2025-04-24 18:00:00,45.437,45.429,45.445,ridge
PLANT_002,2025-04-24 19:00:00,45.853,45.845,45.861,ridge
PLANT_002,2025-04-24 20:00:00,46.409,46.401,46.418,ridge
PLANT_002,2025-04-24 21:00:00,46.577,46.569,46.585,ridge
PLANT_002,2025-04-24 22:00:00,46.605,46.597,46.614,ridge
PLANT_002,2025-04-24 23:00:00,46.303,46.295,46.311,ridge
PLANT_002,2025-04-25 00:00:00,45.427,45.419,45.436,ridge
PLANT_002,2025-04-25 01:00:00,47.757,47.749,47.765,ridge
PLANT_002,2025-04-25 02:00:00,46.541,46.533,46.549,ridge
PLANT_002,2025-04-25 03:00:00,47.811,47.803,47.819,ridge
PLANT_002,2025-04-25 04:00:00,53.166,53.158,53.174,ridge
PLANT_002,2025-04-25 05:00:00,53.094,53.086,53.102,ridge
PLANT_002,2025-04-25 06:00:00,53.094,53.086,53.102,ridge
PLANT_002,2025-04-25 07:00:00,53.094,53.086,53.102,ridge
PLANT_002,2025-04-25 08:00:00,53.094,53.085,53.102,ridge
PLANT_002,2025-04-25 09:00:00,53.093,53.085,53.102,ridge
PLANT_002,2025-04-25 10:00:00,53.094,53.085,53.102,ridge
PLANT_002,2025-04-25 11:00:00,53.094,53.085,53.102,ridge
PLANT_002,2025-04-25 12:00:00,53.093,53.085,53.102,ridge
PLANT_002,2025-04-25 13:00:00,53.093,53.085,53.102,ridge
PLANT_002,2025-04-25 14:00:00,53.093,53.085,53.101,ridge
PLANT_002,2025-04-25 15:00:00,53.093,53.085,53.102,ridge
PLANT_002,2025-04-25 16:00:00,53.093,53.085,53.101,ridge
PLANT_002,2025-04-25 17:00:00,53.094,53.085,53.102,ridge
PLANT_002,2025-04-25 18:00:00,53.094,53.086,53.102,ridge
PLANT_002,2025-04-25 19:00:00,53.094,53.086,53.102,ridge
PLANT_002,2025-04-25 20:00:00,53.094,53.086,53.102,ridge
PLANT_002,2025-04-25 21:00:00,53.094,53.085,53.102,ridge
PLANT_002,2025-04-25 22:00:00,53.094,53.086,53.102,ridge
PLANT_002,2025-04-25 23:00:00,53.094,53.086,53.102,ridge
PLANT_002,2025-04-26 00:00:00,53.094,53.085,53.102,ridge
PLANT_002,2025-04-26 01:00:00,53.093,53.085,53.102,ridge
PLANT_002,2025-04-26 02:00:00,53.094,53.085,53.102,ridge
PLANT_002,2025-04-26 03:00:00,53.094,53.086,53.102,ridge
PLANT_002,2025-04-26 04:00:00,53.094,53.086,53.102,ridge
PLANT_002,2025-04-26 05:00:00,53.094,53.086,53.102,ridge
PLANT_002,2025-04-26 06:00:00,53.094,53.085,53.102,ridge
PLANT_002,2025-04-26 07:00:00,53.093,53.085,53.102,ridge
PLANT_002,2025-04-26 08:00:00,53.093,53.085,53.101,ridge
PLANT_002,2025-04-26 09:00:00,53.094,53.085,53.102,ridge
PLANT_002,2025-04-26 10:00:00,53.094,53.085,53.102,ridge
PLANT_002,2025-04-26 11:00:00,53.093,53.085,53.101,ridge
PLANT_002,2025-04-26 12:00:00,53.093,53.085,53.101,ridge
PLANT_002,2025-04-26 13:00:00,53.093,53.085,53.101,ridge
PLANT_002,2025-04-26 14:00:00,53.093,53.085,53.101,ridge
PLANT_002,2025-04-26 15:00:00,53.093,53.085,53.101,ridge
PLANT_002,2025-04-26 16:00:00,53.093,53.085,53.101,ridge
PLANT_002,2025-04-26 17:00:00,53.093,53.084,53.101,ridge
PLANT_002,2025-04-26 18:00:00,53.093,53.084,53.101,ridge
PLANT_002,2025-04-26 19:00:00,53.093,53.085,53.101,ridge
PLANT_002,2025-04-26 20:00:00,53.093,53.085,53.101,ridge
PLANT_002,2025-04-26 21:00:00,53.093,53.084,53.101,ridge
PLANT_002,2025-04-26 22:00:00,53.093,53.084,53.101,ridge
PLANT_002,2025-04-26 23:00:00,53.093,53.084,53.101,ridge
PLANT_002,2025-04-27 00:00:00,53.092,53.084,53.1,ridge
PLANT_005,2025-04-24 01:00:00,34.922,34.912,34.931,ridge
PLANT_005,2025-04-24 02:00:00,35.319,35.309,35.329,ridge
PLANT_005,2025-04-24 03:00:00,35.447,35.438,35.457,ridge
PLANT_005,2025-04-24 04:00:00,35.609,35.599,35.619,ridge
PLANT_005,2025-04-24 05:00:00,35.913,35.903,35.923,ridge
PLANT_005,2025-04-24 06:00:00,35.98,35.97,35.99,ridge
PLANT_005,2025-04-24 07:00:00,36.475,36.465,36.485,ridge
PLANT_005,2025-04-24 08:00:00,36.28,36.27,36.29,ridge
PLANT_005,2025-04-24 09:00:00,36.729,36.719,36.739,ridge
PLANT_005,2025-04-24 10:00:00,36.374,36.364,36.384,ridge
PLANT_005,2025-04-24 11:00:00,36.288,36.278,36.298,ridge
PLANT_005,2025-04-24 12:00:00,36.547,36.537,36.557,ridge
PLANT_005,2025-04-24 13:00:00,36.215,36.205,36.225,ridge
PLANT_005,2025-04-24 14:00:00,36.165,36.155,36.175,ridge
PLANT_005,2025-04-24 15:00:00,36.491,36.481,36.501,ridge
PLANT_005,2025-04-24 16:00:00,35.87,35.861,35.88,ridge
PLANT_005,2025-04-24 17:00:00,36.62,36.61,36.63,ridge
PLANT_005,2025-04-24 18:00:00,36.998,36.988,37.007,ridge
PLANT_005,2025-04-24 19:00:00,35.8,35.791,35.81,ridge
PLANT_005,2025-04-24 20:00:00,36.339,36.329,36.349,ridge
PLANT_005,2025-04-24 21:00:00,37.362,37.352,37.372,ridge
PLANT_005,2025-04-24 22:00:00,35.348,35.338,35.358,ridge
PLANT_005,2025-04-24 23:00:00,37.458,37.448,37.468,ridge
PLANT_005,2025-04-25 00:00:00,41.575,41.566,41.585,ridge
PLANT_005,2025-04-25 01:00:00,41.575,41.565,41.585,ridge
PLANT_005,2025-04-25 02:00:00,41.575,41.566,41.585,ridge
PLANT_005,2025-04-25 03:00:00,41.575,41.565,41.585,ridge
PLANT_005,2025-04-25 04:00:00,41.575,41.565,41.585,ridge
PLANT_005,2025-04-25 05:00:00,41.575,41.565,41.585,ridge
PLANT_005,2025-04-25 06:00:00,41.575,41.566,41.585,ridge
PLANT_005,2025-04-25 07:00:00,41.575,41.565,41.585,ridge
PLANT_005,2025-04-25 08:00:00,41.575,41.566,41.585,ridge
PLANT_005,2025-04-25 09:00:00,41.575,41.566,41.585,ridge
PLANT_005,2025-04-25 10:00:00,41.575,41.565,41.585,ridge
PLANT_005,2025-04-25 11:00:00,41.575,41.565,41.585,ridge
PLANT_005,2025-04-25 12:00:00,41.575,41.565,41.585,ridge
PLANT_005,2025-04-25 13:00:00,41.575,41.565,41.585,ridge
PLANT_005,2025-04-25 14:00:00,41.576,41.566,41.585,ridge
PLANT_005,2025-04-25 15:00:00,41.576,41.566,41.586,ridge
PLANT_005,2025-04-25 16:00:00,41.576,41.566,41.586,ridge
PLANT_005,2025-04-25 17:00:00,41.576,41.566,41.586,ridge
PLANT_005,2025-04-25 18:00:00,41.576,41.566,41.586,ridge
PLANT_005,2025-04-25 19:00:00,41.576,41.566,41.586,ridge
PLANT_005,2025-04-25 20:00:00,41.576,41.566,41.586,ridge
PLANT_005,2025-04-25 21:00:00,41.576,41.566,41.586,ridge
PLANT_005,2025-04-25 22:00:00,41.576,41.567,41.586,ridge
PLANT_005,2025-04-25 23:00:00,41.576,41.567,41.586,ridge
PLANT_005,2025-04-26 00:00:00,41.577,41.567,41.587,ridge
