plant_id,timestamp,forecast_mw,p10,p25,p50,p75,p90,scenario_worst,scenario_base,scenario_best,sigma_total
PLANT_002,2025-04-24 06:00:00,43.851,31.695,37.796,43.488,49.639,54.684,31.695,43.488,54.684,8.417
PLANT_002,2025-04-24 07:00:00,43.545,34.531,38.537,43.112,47.717,51.525,34.531,43.112,51.525,8.407
PLANT_002,2025-04-24 08:00:00,43.476,36.298,39.194,42.971,46.276,49.425,36.298,42.971,49.425,8.404
PLANT_002,2025-04-24 09:00:00,43.554,37.025,40.025,43.002,45.848,48.678,37.025,43.002,48.678,8.407
PLANT_002,2025-04-24 10:00:00,43.44,37.939,40.336,42.822,45.685,47.877,37.939,42.822,47.877,8.403
PLANT_002,2025-04-24 11:00:00,43.981,38.7,41.037,43.448,46.082,48.132,38.7,43.448,48.132,8.421
PLANT_002,2025-04-24 12:00:00,44.392,39.01,41.446,43.817,46.253,48.524,39.01,43.817,48.524,8.435
PLANT_002,2025-04-24 13:00:00,44.868,39.567,41.759,44.102,46.757,49.107,39.567,44.102,49.107,8.451
PLANT_002,2025-04-24 14:00:00,45.46,40.351,42.364,44.745,47.051,49.264,40.351,44.745,49.264,8.471
PLANT_002,2025-04-24 15:00:00,45.373,40.193,42.378,44.803,46.962,48.944,40.193,44.803,48.944,8.468
PLANT_002,2025-04-24 16:00:00,44.88,39.617,41.797,44.277,46.583,48.786,39.617,44.277,48.786,8.451
PLANT_002,2025-04-24 17:00:00,45.008,39.81,42.049,44.39,46.81,48.857,39.81,44.39,48.857,8.456
PLANT_002,2025-04-24 18:00:00,45.437,40.376,42.751,45.114,47.512,49.55,40.376,45.114,49.55,8.47
PLANT_002,2025-04-24 19:00:00,45.853,40.612,42.735,45.458,47.78,49.732,40.612,45.458,49.732,8.485
PLANT_002,2025-04-24 20:00:00,46.409,40.854,43.368,45.785,48.27,50.724,40.854,45.785,50.724,8.504
PLANT_002,2025-04-24 21:00:00,46.577,41.119,43.546,46.055,48.299,50.317,41.119,46.055,50.317,8.51
PLANT_002,2025-04-24 22:00:00,46.605,41.369,43.634,45.917,48.315,50.387,41.369,45.917,50.387,8.511
PLANT_002,2025-04-24 23:00:00,46.303,40.756,43.25,45.602,47.936,50.029,40.756,45.602,50.029,8.5
PLANT_002,2025-04-25 00:00:00,45.427,40.339,42.277,44.784,46.838,48.731,40.339,44.784,48.731,8.47
PLANT_002,2025-04-25 01:00:00,47.757,42.777,44.958,46.99,49.49,51.637,42.777,46.99,51.637,8.552
PLANT_002,2025-04-25 02:00:00,46.541,41.323,43.397,45.904,48.173,50.232,41.323,45.904,50.232,8.509
PLANT_002,2025-04-25 03:00:00,47.811,42.434,44.559,47.053,49.487,51.615,42.434,47.053,51.615,8.554
PLANT_002,2025-04-25 04:00:00,53.166,47.706,49.815,52.155,54.617,57.015,47.706,52.155,57.015,8.754
PLANT_002,2025-04-25 05:00:00,53.094,47.299,49.714,52.159,54.611,56.878,47.299,52.159,56.878,8.751
PLANT_002,2025-04-25 06:00:00,53.094,47.773,49.786,52.125,54.864,56.936,47.773,52.125,56.936,8.751
PLANT_002,2025-04-25 07:00:00,53.094,47.631,49.77,52.281,54.957,57.164,47.631,52.281,57.164,8.751
PLANT_002,2025-04-25 08:00:00,53.094,47.42,49.75,52.428,54.85,57.032,47.42,52.428,57.032,8.751
PLANT_002,2025-04-25 09:00:00,53.093,47.584,49.833,52.435,54.928,57.291,47.584,52.435,57.291,8.751
PLANT_002,2025-04-25 10:00:00,53.094,47.35,49.917,52.476,55.059,57.508,47.35,52.476,57.508,8.751
PLANT_002,2025-04-25 11:00:00,53.094,47.606,49.737,52.566,54.924,57.173,47.606,52.566,57.173,8.751
PLANT_002,2025-04-25 12:00:00,53.093,47.715,49.846,52.448,54.893,57.034,47.715,52.448,57.034,8.751
PLANT_002,2025-04-25 13:00:00,53.093,47.758,49.889,52.205,54.996,57.479,47.758,52.205,57.479,8.751
PLANT_002,2025-04-25 14:00:00,53.093,47.802,49.89,52.504,54.772,57.029,47.802,52.504,57.029,8.751
PLANT_002,2025-04-25 15:00:00,53.093,47.963,49.9,52.239,54.611,56.939,47.963,52.239,56.939,8.751
PLANT_002,2025-04-25 16:00:00,53.093,47.57,49.857,52.373,54.622,57.014,47.57,52.373,57.014,8.751
PLANT_002,2025-04-25 17:00:00,53.094,47.744,49.823,52.184,54.8,57.075,47.744,52.184,57.075,8.751
PLANT_002,2025-04-25 18:00:00,53.094,47.539,49.862,52.418,54.665,56.827,47.539,52.418,56.827,8.751
PLANT_002,2025-04-25 19:00:00,53.094,47.34,49.603,52.107,54.56,56.91,47.34,52.107,56.91,8.751
PLANT_002,2025-04-25 20:00:00,53.094,47.554,49.743,52.188,54.59,56.868,47.554,52.188,56.868,8.751
PLANT_002,2025-04-25 21:00:00,53.094,47.585,49.686,52.174,54.635,56.736,47.585,52.174,56.736,8.751
PLANT_002,2025-04-25 22:00:00,53.094,47.351,49.679,51.961,54.478,56.55,47.351,51.961,56.55,8.751
PLANT_002,2025-04-25 23:00:00,53.094,47.263,49.651,51.984,54.508,56.686,47.263,51.984,56.686,8.751
PLANT_002,2025-04-26 00:00:00,53.094,47.579,49.751,52.236,54.705,56.899,47.579,52.236,56.899,8.751
PLANT_002,2025-04-26 01:00:00,53.093,47.414,49.789,52.28,54.821,57.189,47.414,52.28,57.189,8.751
PLANT_002,2025-04-26 02:00:00,53.094,47.232,49.511,52.277,54.897,57.509,47.232,52.277,57.509,8.751
PLANT_002,2025-04-26 03:00:00,53.094,47.473,49.853,52.327,54.817,57.37,47.473,52.327,57.37,8.751
PLANT_002,2025-04-26 04:00:00,53.094,47.43,49.537,52.295,54.855,57.253,47.43,52.295,57.253,8.751
PLANT_002,2025-04-26 05:00:00,53.094,47.403,49.651,52.448,54.998,57.306,47.403,52.448,57.306,8.751
PLANT_002,2025-04-26 06:00:00,53.094,47.589,49.67,52.266,54.973,57.398,47.589,52.266,57.398,8.751
PLANT_002,2025-04-26 07:00:00,53.093,47.334,49.854,52.298,55.151,57.509,47.334,52.298,57.509,8.751
PLANT_002,2025-04-26 08:00:00,53.093,47.292,49.546,52.427,54.981,57.345,47.292,52.427,57.345,8.751
PLANT_002,2025-04-26 09:00:00,53.094,47.395,49.583,52.28,54.941,57.032,47.395,52.28,57.032,8.751
PLANT_002,2025-04-26 10:00:00,53.094,47.419,49.84,52.378,54.988,57.087,47.419,52.378,57.087,8.751
PLANT_002,2025-04-26 11:00:00,53.093,47.735,49.795,52.544,54.983,57.021,47.735,52.544,57.021,8.751
PLANT_002,2025-04-26 12:00:00,53.093,47.56,49.658,52.175,54.675,57.064,47.56,52.175,57.064,8.751
