plant_id,timestamp,forecast_mw,lower_90,upper_90,model
PLANT_001,2025-04-24 01:00:00,0.0,0.0,0.0,ets
PLANT_001,2025-04-24 02:00:00,0.0,0.0,0.0,ets
PLANT_001,2025-04-24 03:00:00,0.0,0.0,0.0,ets
PLANT_001,2025-04-24 04:00:00,0.0,0.0,0.0,ets
PLANT_001,2025-04-24 05:00:00,0.0,0.0,0.0,ets
PLANT_001,2025-04-24 06:00:00,0.504,0.428,0.579,ets
PLANT_001,2025-04-24 07:00:00,11.957,10.163,13.75,ets
PLANT_001,2025-04-24 08:00:00,23.382,19.875,26.889,ets
PLANT_001,2025-04-24 09:00:00,33.102,28.136,38.067,ets
PLANT_001,2025-04-24 10:00:00,41.66,35.411,47.909,ets
PLANT_001,2025-04-24 11:00:00,46.5,39.525,53.475,ets
PLANT_001,2025-04-24 12:00:00,47.529,40.4,54.659,ets
PLANT_001,2025-04-24 13:00:00,46.894,39.86,53.928,ets
PLANT_001,2025-04-24 14:00:00,41.79,35.522,48.059,ets
PLANT_001,2025-04-24 15:00:00,32.655,27.757,37.553,ets
PLANT_001,2025-04-24 16:00:00,23.772,20.206,27.338,ets
PLANT_001,2025-04-24 17:00:00,11.948,10.156,13.74,ets
PLANT_001,2025-04-24 18:00:00,0.587,0.499,0.675,ets
PLANT_001,2025-04-24 19:00:00,0.0,0.0,0.0,ets
PLANT_001,2025-04-24 20:00:00,0.0,0.0,0.0,ets
PLANT_001,2025-04-24 21:00:00,0.0,0.0,0.0,ets
PLANT_001,2025-04-24 22:00:00,0.0,0.0,0.0,ets
PLANT_001,2025-04-24 23:00:00,0.0,0.0,0.0,ets
PLANT_001,2025-04-25 00:00:00,0.0,0.0,0.0,ets
PLANT_001,2025-04-25 01:00:00,0.0,0.0,0.0,ets
PLANT_001,2025-04-25 02:00:00,0.0,0.0,0.0,ets
PLANT_001,2025-04-25 03:00:00,0.0,0.0,0.0,ets
PLANT_001,2025-04-25 04:00:00,0.0,0.0,0.0,ets
PLANT_001,2025-04-25 05:00:00,0.0,0.0,0.0,ets
PLANT_001,2025-04-25 06:00:00,0.5,0.425,0.575,ets
PLANT_001,2025-04-25 07:00:00,11.953,10.16,13.746,ets
PLANT_001,2025-04-25 08:00:00,23.378,19.872,26.885,ets
PLANT_001,2025-04-25 09:00:00,33.098,28.133,38.063,ets
PLANT_001,2025-04-25 10:00:00,41.657,35.408,47.905,ets
PLANT_001,2025-04-25 11:00:00,46.497,39.522,53.471,ets
PLANT_001,2025-04-25 12:00:00,47.526,40.397,54.655,ets
PLANT_001,2025-04-25 13:00:00,46.891,39.857,53.924,ets
PLANT_001,2025-04-25 14:00:00,41.786,35.518,48.054,ets
PLANT_001,2025-04-25 15:00:00,32.651,27.754,37.549,ets
PLANT_001,2025-04-25 16:00:00,23.768,20.203,27.334,ets
PLANT_001,2025-04-25 17:00:00,11.944,10.153,13.736,ets
PLANT_001,2025-04-25 18:00:00,0.583,0.496,0.671,ets
PLANT_001,2025-04-25 19:00:00,0.0,0.0,0.0,ets
PLANT_001,2025-04-25 20:00:00,0.0,0.0,0.0,ets
PLANT_001,2025-04-25 21:00:00,0.0,0.0,0.0,ets
PLANT_001,2025-04-25 22:00:00,0.0,0.0,0.0,ets
PLANT_001,2025-04-25 23:00:00,0.0,0.0,0.0,ets
PLANT_001,2025-04-26 00:00:00,0.0,0.0,0.0,ets
PLANT_001,2025-04-26 01:00:00,0.0,0.0,0.0,ets
PLANT_001,2025-04-26 02:00:00,0.0,0.0,0.0,ets
PLANT_001,2025-04-26 03:00:00,0.0,0.0,0.0,ets
