timestamp,temperature,cloud_cover,wind_speed,wind_direction,irradiance,plant_name
2025-04-24T00:00,29.3,0,17.2,170,0.0,Koppal Solar
2025-04-24T01:00,28.3,0,18.0,178,0.0,Koppal Solar
2025-04-24T02:00,27.5,0,14.2,183,0.0,Koppal Solar
2025-04-24T03:00,27.0,0,12.5,184,0.0,Koppal Solar
2025-04-24T04:00,26.7,0,12.4,178,0.0,Koppal Solar
2025-04-24T05:00,26.3,0,9.6,168,0.0,Koppal Solar
2025-04-24T06:00,27.7,75,11.6,167,20.0,Koppal Solar
2025-04-24T07:00,29.3,0,11.5,176,174.0,Koppal Solar
2025-04-24T08:00,31.2,1,13.2,210,396.0,Koppal Solar
2025-04-24T09:00,33.8,26,12.1,205,610.0,Koppal Solar
2025-04-24T10:00,36.2,79,10.2,212,789.0,Koppal Solar
2025-04-24T11:00,38.0,31,10.2,208,909.0,Koppal Solar
2025-04-24T12:00,39.2,1,10.1,199,959.0,Koppal Solar
2025-04-24T13:00,40.0,5,8.1,193,934.0,Koppal Solar
2025-04-24T14:00,40.4,16,7.0,190,829.0,Koppal Solar
2025-04-24T15:00,40.3,7,7.0,192,630.0,Koppal Solar
2025-04-24T16:00,39.9,4,6.5,185,450.0,Koppal Solar
2025-04-24T17:00,39.3,5,6.6,164,237.0,Koppal Solar
2025-04-24T18:00,36.5,8,7.6,95,49.0,Koppal Solar
2025-04-24T19:00,34.8,7,10.6,90,0.0,Koppal Solar
2025-04-24T20:00,33.8,5,14.8,143,0.0,Koppal Solar
2025-04-24T21:00,32.5,2,11.3,162,0.0,Koppal Solar
2025-04-24T22:00,31.5,8,13.8,163,0.0,Koppal Solar
2025-04-24T23:00,30.4,21,15.0,161,0.0,Koppal Solar
2025-04-25T00:00,29.2,18,16.2,168,0.0,Koppal Solar
2025-04-25T01:00,28.2,47,16.8,170,0.0,Koppal Solar
2025-04-25T02:00,27.4,15,14.9,169,0.0,Koppal Solar
2025-04-25T03:00,26.8,49,12.5,164,0.0,Koppal Solar
2025-04-25T04:00,26.6,93,13.6,169,0.0,Koppal Solar
2025-04-25T05:00,26.7,99,14.9,172,0.0,Koppal Solar
2025-04-25T06:00,27.4,93,14.1,174,18.0,Koppal Solar
2025-04-25T07:00,28.5,79,13.0,170,117.0,Koppal Solar
2025-04-25T08:00,30.0,60,11.5,169,266.0,Koppal Solar
2025-04-25T09:00,32.2,1,11.8,173,507.0,Koppal Solar
2025-04-25T10:00,34.8,0,12.2,180,788.0,Koppal Solar
2025-04-25T11:00,36.5,0,11.1,193,910.0,Koppal Solar
2025-04-25T12:00,38.0,0,9.8,185,956.0,Koppal Solar
2025-04-25T13:00,39.2,13,8.6,182,930.0,Koppal Solar
2025-04-25T14:00,39.7,15,5.8,189,811.0,Koppal Solar
2025-04-25T15:00,39.7,5,3.9,202,599.0,Koppal Solar
2025-04-25T16:00,39.5,7,3.0,163,438.0,Koppal Solar
2025-04-25T17:00,38.8,23,4.3,105,226.0,Koppal Solar
2025-04-25T18:00,35.8,6,12.1,79,50.0,Koppal Solar
2025-04-25T19:00,34.1,1,6.4,82,0.0,Koppal Solar
2025-04-25T20:00,33.0,2,6.5,84,0.0,Koppal Solar
2025-04-25T21:00,32.3,3,10.7,102,0.0,Koppal Solar
2025-04-25T22:00,31.7,2,12.2,156,0.0,Koppal Solar
2025-04-25T23:00,30.5,0,13.8,163,0.0,Koppal Solar
2025-04-26T00:00,29.5,0,14.3,170,0.0,Koppal Solar
2025-04-26T01:00,28.5,0,16.4,175,0.0,Koppal Solar
2025-04-26T02:00,27.6,0,17.1,178,0.0,Koppal Solar
2025-04-26T03:00,27.2,0,17.6,178,0.0,Koppal Solar
2025-04-26T04:00,26.8,59,15.3,183,0.0,Koppal Solar
2025-04-26T05:00,26.5,6,12.9,189,0.0,Koppal Solar
2025-04-26T06:00,27.4,31,13.4,197,21.0,Koppal Solar
2025-04-26T07:00,28.7,14,12.0,198,165.0,Koppal Solar
2025-04-26T08:00,30.4,9,9.4,184,383.0,Koppal Solar
2025-04-26T09:00,32.5,14,8.9,174,598.0,Koppal Solar
2025-04-26T10:00,34.6,18,8.9,161,783.0,Koppal Solar
2025-04-26T11:00,36.2,0,8.0,162,900.0,Koppal Solar
2025-04-26T12:00,37.5,9,6.6,164,952.0,Koppal Solar
2025-04-26T13:00,38.2,9,5.3,170,913.0,Koppal Solar
2025-04-26T14:00,38.7,17,4.9,172,780.0,Koppal Solar
2025-04-26T15:00,38.6,29,5.3,192,633.0,Koppal Solar
2025-04-26T16:00,37.8,23,1.0,158,346.0,Koppal Solar
2025-04-26T17:00,37.5,18,7.6,118,223.0,Koppal Solar
2025-04-26T18:00,34.1,28,14.0,137,46.0,Koppal Solar
2025-04-26T19:00,33.0,15,12.2,118,0.0,Koppal Solar
2025-04-26T20:00,32.7,30,12.1,128,0.0,Koppal Solar
2025-04-26T21:00,31.6,45,16.7,152,0.0,Koppal Solar
2025-04-26T22:00,30.5,14,14.9,157,0.0,Koppal Solar
2025-04-26T23:00,29.2,3,14.4,158,0.0,Koppal Solar
2025-04-24T00:00,27.2,1,10.6,178,0.0,Raichur Wind
2025-04-24T01:00,26.8,6,12.0,166,0.0,Raichur Wind
